Complexity,Loss,Equation
1,0.9466541,"0.0069138827"
3,0.7729534,"x4 * -0.4171718"
5,0.590786,"(x4 + x0) * -0.47302082"
7,0.49225354,"((x4 + x0) + x2) * -0.4764756"
8,0.4633178,"(x4 + (sin(x2) + x0)) * -0.5338887"
9,0.45988947,"(sin(sin(x2)) + (x4 + x0)) * -0.54968476"
10,0.44238445,"(sin(x1) + ((x4 + x2) + x0)) * -0.4454621"
11,0.44113466,"(x4 + ((x2 + sin(sin(x1))) + x0)) * -0.4454621"
12,0.41223153,"(x0 + (sin(x0 * x2) + (x2 + x4))) * -0.51172894"
13,0.40540168,"(sin(x2 * x0) + (x4 + (sin(x2) + x0))) * -0.54343235"
14,0.39103034,"(sin((x2 + 0.5761074) * x0) + (x2 + (x4 + x0))) * -0.48434865"
15,0.37590137,"((x0 + sin(x2)) + ((x0 * sin(x2 + 0.50920653)) + x4)) * -0.48265883"
17,0.3473315,"((((x0 * x2) + (x0 + x2)) + x0) + (x4 * (x0 - -2.1041698))) * -0.29969472"
19,0.32151392,"(((x4 + (sin(x4 * x0) + sin(x2 + x0))) + x0) + (x2 * x0)) * -0.5338875"
20,0.31599566,"(((sin(x2) * x0) + (x4 + (sin(x4 * x0) + x0))) + sin(x2 + x0)) * -0.5338875"
21,0.31551218,"(((x4 + (sin(sin(x4 * x0)) + sin(x2 + x0))) + x0) + (sin(x2) * x0)) * -0.5338875"
22,0.2887631,"(((sin(x2) * x0) + ((sin(x4 * x0) + (x4 + x0)) + sin(x2 + x0))) * -0.6152364) - 0.14557222"
