Complexity,Loss,Equation
1,0.99951154,"0.0"
3,0.0035475576,"x1 * -0.9981128"
5,0.0016739166,"(x0 / 22.956533) - x1"
7,0.001563307,"(x0 / (21.95162 - x0)) - x1"
8,0.0011429102,"(x0 / exp(4.0606303 - x0)) - x1"
9,0.00097423507,"((x0 / 14.984249) / (2.3292577 - x0)) - x1"
10,0.0004472527,"((x0 / exp(3.7947965 - x0)) - 0.030825289) - x1"
12,0.00025301886,"((x0 / (exp(3.7407317 - x0) - x1)) - x1) - 0.03208375"
14,0.00012596782,"((x0 / exp((3.8191705 - x0) - (x1 / 3.8256218))) - x1) - 0.030825289"
16,0.00012569135,"((x0 / (exp((3.8191705 - (x1 / 3.8256218)) - x0) - 0.030825289)) - x1) - 0.030825289"
22,0.00010942979,"((x0 / ((exp(3.7981782 - x0) - x1) - (x1 - ((x1 / x1) - x1)))) - (x1 * 1.0064657)) - 0.030856827"
24,0.0001031725,"((x0 / ((exp(3.8500764 - x0) - (x1 - (x1 / ((x0 - 3.5517418) - x1)))) - x1)) - 0.030523304) - (x1 * 1.008301)"
25,8.299775e-5,"((x0 / ((exp(3.8041656 - x0) - (x1 - ((x0 - x1) - (x1 / exp(x1))))) - 1.0092387)) - (x1 * 1.0092387)) - 0.029922849"
